控件名称,浅色模式,深色模式
新建方案,light_control.create_project,dark_control.create_project
方案名称编辑框,light_control.select_textbox,dark_control.select_textbox
方案类型,light_control.project_type,dark_control.project_type
多模型串并联方案,light_control.pipelines_project,dark_control.pipelines_project
创建按钮,light_control.create_button,dark_control.create_button
添加图像,light_control.add_image,dark_control.add_image
导入成功,light_control.upload_label,dark_control.upload_label
完成按钮,light_control.upload_done,dark_control.upload_done
添加标注,light_control.add_label,dark_control.add_label
方案流程,light_control.project_flow,dark_control.project_flow
图像标注页面,light_control.image_label,dark_control.image_label
自动划分,light_control.auto_divide,dark_control.auto_divide
导入标注,light_control.import_label,dark_control.import_label
模型训练页面,light_control.model_training,dark_control.model_training
新增训练小卡片,light_control.add_card,dark_control.add_card
常规训练,light_control.nomal_training,dark_control.nomal_training
设置学习次数,light_control.set_study,dark_control.set_study
开始训练,light_control.star_training,dark_control.star_training
模型评估页面,light_control.model_assess,dark_control.model_assess
评估完成,light_control.infering_finished,dark_control.infering_finished
模型推理页面,light_control.model_infering,dark_control.model_infering
导入图片,light_control.images_input,dark_control.images_input
开始推理,light_control.begin_infering,dark_control.begin_infering
